-0.009012,-0.004722,1.096628,-0.094960,-0.057460,1.048848
-0.019038,-0.007401,1.089981,-0.103208,-0.060899,1.043080
-0.035442,-0.006927,1.098453,-0.120501,-0.060684,1.051607
-0.054373,-0.006375,1.104094,-0.139510,-0.059611,1.058616
-0.077375,-0.004440,1.117111,-0.166790,-0.059062,1.069078
-0.100355,-0.002605,1.127447,-0.196375,-0.059385,1.077643
-0.126144,-0.000002,1.136606,-0.226138,-0.057585,1.085704
-0.153820,0.001240,1.139184,-0.258834,-0.058529,1.082849
-0.173139,0.001915,1.143308,-0.287259,-0.061032,1.081833
-0.176095,0.002315,1.141984,-0.293540,-0.060800,1.079812
-0.160433,0.001291,1.139479,-0.280763,-0.062381,1.078195
-0.134308,-0.001175,1.132693,-0.253997,-0.064160,1.075023
-0.106097,-0.002674,1.132829,-0.221135,-0.062860,1.075961
-0.079505,-0.004379,1.115399,-0.188195,-0.062062,1.069228
-0.055066,-0.004804,1.116465,-0.157197,-0.059241,1.071039
-0.032636,-0.005719,1.121712,-0.129872,-0.057786,1.074144
-0.015821,-0.006041,1.124483,-0.105953,-0.054882,1.076042
-0.003856,-0.005455,1.111495,-0.090196,-0.053582,1.070574
-0.001466,-0.002407,1.123784,-0.086143,-0.049951,1.075134
-0.003083,-0.002534,1.119623,-0.085631,-0.049801,1.071806
-0.006925,-0.004976,1.109470,-0.089739,-0.053633,1.065996
-0.011888,-0.005995,1.111699,-0.094680,-0.055362,1.065330
-0.029191,-0.006517,1.110789,-0.111786,-0.057112,1.062149
-0.047981,-0.005786,1.130951,-0.131742,-0.055459,1.076103
-0.065998,-0.004570,1.139883,-0.155696,-0.056343,1.084242
-0.086061,-0.002691,1.155584,-0.180127,-0.055330,1.095409
-0.107616,-0.000959,1.164355,-0.208462,-0.055718,1.101720
-0.128724,0.001620,1.173434,-0.236714,-0.054893,1.109080
-0.145529,0.002744,1.176630,-0.259147,-0.055879,1.106239
-0.152767,0.003039,1.170854,-0.267925,-0.056302,1.099249
-0.144268,0.002072,1.160325,-0.261677,-0.057932,1.091769
-0.124586,0.000533,1.153950,-0.240748,-0.058765,1.087690
